Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
92	39	0	1.38253098	299.514581	299.515708	299.514581	299.516991	0.00241018774	0.0496082972	0	0	0	0	3
93	39	0	1.39755849	299.514705	299.515697	299.514581	299.516991	0.00241018774	0.0496082972	0	0	0	0	3
94	40	0	1.412586	299.514691	299.515685	299.514581	299.516991	0.00241018774	0.0496082972	0	0	0	0	3
95	40	0	1.42761351	299.514235	299.515659	299.514235	299.516991	0.00275598727	0.0496082972	0	0	0	0	3
96	41	0	1.44264102	299.514175	299.51563	299.514175	299.516991	0.00281557636	0.0496082972	0	0	0	0	3
97	41	0	1.45766853	299.514185	299.5156	299.514175	299.516991	0.00281557636	0.0496082972	0	0	0	0	3
98	41	0	1.47269604	299.514192	299.515575	299.514175	299.516991	0.00281557636	0.0496082972	0	0	0	0	3
99	42	0	1.48772355	299.514077	299.515495	299.514077	299.516991	0.00291418084	0.0496082972	0	0	0	0	3
100	42	0	1.50275107	299.514181	299.515415	299.514077	299.516991	0.00291418084	0.0496082972	0	0	0	0	3
101	43	0	1.51777858	299.514171	299.515334	299.514077	299.516991	0.00291418084	0.0496082972	0	0	0	0	3
102	43	0	1.53280609	299.514028	299.515249	299.514028	299.516991	0.00296269514	0.0496082972	0	0	0	0	3
103	43	0	1.5478336	299.514229	299.515168	299.514028	299.516935	0.0029069941	0.0496082972	0	0	0	0	3
104	44	0	1.56286111	299.514137	299.515087	299.514028	299.516935	0.0029069941	0.0496082972	0	0	0	0	3
105	44	0	1.57788862	299.513814	299.514999	299.513814	299.516935	0.00312147566	0.0496082972	0	0	0	0	3
106	44	0	1.59291613	299.513767	299.514906	299.513767	299.516826	0.00305902599	0.0496082972	0	0	0	0	3
107	45	0	1.60794364	299.513765	299.514816	299.513765	299.516764	0.00299882213	0.0496082972	0	0	0	0	3
108	45	0	1.62297115	299.513853	299.51473	299.513765	299.51595	0.00218517156	0.0496082972	0	0	0	0	3
109	45	0	1.63799866	299.51378	299.514668	299.513765	299.51595	0.00218517156	0.0496082972	0	0	0	0	3
110	46	0	1.65302617	299.513832	299.51461	299.513765	299.51595	0.00218517156	0.0496082972	0	0	0	0	3
111	46	0	1.66805368	299.51389	299.514549	299.513765	299.515715	0.00194964917	0.0496082972	0	0	0	0	3
112	46	0	1.68308119	299.513832	299.514494	299.513765	299.515632	0.00186686982	0.0496082972	0	0	0	0	3
113	47	0	1.6981087	299.513813	299.51444	299.513765	299.51561	0.00184510842	0.0496082972	0	0	0	0	3
114	47	0	1.71313621	299.51371	299.514386	299.51371	299.51561	0.00190007108	0.0496082972	0	0	0	0	3
115	48	0	1.72816373	299.513593	299.514328	299.513593	299.51561	0.00201749317	0.0496082972	0	0	0	0	3
116	48	0	1.74319124	299.513598	299.514271	299.513593	299.51561	0.00201749317	0.0496082972	0	0	0	0	3
117	48	0	1.75821875	299.513639	299.514213	299.513593	299.515576	0.00198375037	0.0496082972	0	0	0	0	3
118	49	0	1.77324626	299.513655	299.514157	299.513593	299.515065	0.00147227043	0.0496082972	0	0	0	0	3
119	49	0	1.78827377	299.513664	299.514115	299.513593	299.514793	0.00120007056	0.0496082972	0	0	0	0	3
120	49	0	1.80330128	299.513651	299.514082	299.513593	299.514746	0.00115342314	0.0496082972	0	0	0	0	3
121	50	0	1.81832879	299.513683	299.514051	299.513593	299.514705	0.00111181758	0.0496082972	0	0	0	0	3
122	50	0	1.8333563	299.513733	299.514022	299.513593	299.514705	0.00111181758	0.0496082972	0	0	0	0	3
123	50	0	1.84838381	299.513649	299.513992	299.513593	299.514705	0.00111181758	0.0496082972	0	0	0	0	3
